-DOCSTART- -X- -X- O
the DT B-NP O
PDS NN I-NP B-Disease
gene NN I-NP O
, , O O
at IN B-PP O
nucleotide NN B-NP O
position NN I-NP O
639 CD I-NP O
+ SYM I-NP O
7 CD I-NP O
. . O O

RNA NN B-NP O
analysis NN I-NP O
from IN B-PP O
lymphocytes NNS B-NP O
of IN B-PP O
the DT B-NP O
affected VBN I-NP O
patients NNS I-NP O
showed VBD B-VP O
that IN B-SBAR O
mutation NN B-NP O
639 CD I-NP O
+ SYM I-NP O
7A NN I-NP O
- SYM O O
- HYPH O O
> SYM O O
G NN B-NP O
generates VBZ B-VP O
a DT B-NP O
new JJ I-NP O
donor NN I-NP O
splice NN I-NP O
site NN I-NP O
, , O O
leading VBG B-VP O
to TO B-PP O
an DT B-NP O
mRNA NN I-NP O
with IN B-PP O
an DT B-NP O
insertion NN I-NP O
of IN B-PP O
six CD B-NP O
nucleotides NNS I-NP O
from IN B-PP O
intron NN B-NP O
4 CD I-NP O
of IN B-PP O
PDS NN B-NP O
. . O O

Since IN B-SBAR O
the DT B-NP O
newly RB I-NP O
created VBN I-NP O
donor NN I-NP O
splice NN I-NP O
site NN I-NP O
is VBZ B-VP O
likely JJ B-ADJP O
to TO B-VP O
compete VB I-VP O
with IN B-PP O
the DT B-NP O
normal JJ I-NP O
one CD I-NP O
, , O O
variations NNS B-NP O
of IN B-PP O
the DT B-NP O
levels NNS I-NP O
of IN B-PP O
normal JJ B-NP O
and CC I-NP O
aberrant JJ I-NP O
transcripts NNS I-NP O
of IN B-PP O
the DT B-NP O
PDS NN I-NP B-Disease
gene NN I-NP O
in IN B-PP O
the DT B-NP O
cochlea NN I-NP O
may MD B-VP O
explain VB I-VP O
the DT B-NP O
variability NN I-NP O
in IN B-PP O
the DT B-NP O
deafness NN I-NP B-Disease
presentation NN I-NP O
. . O O

. . O O

The DT B-NP O
molecular JJ I-NP O
basis NN I-NP O
of IN B-PP O
Sjogren NN B-NP B-Disease
- HYPH B-NP I-Disease
Larsson NN I-NP I-Disease
syndrome NN I-NP I-Disease
: : O O
mutation NN B-NP O
analysis NN I-NP O
of IN B-PP O
the DT B-NP O
fatty JJ I-NP O
aldehyde NN I-NP O
dehydrogenase NN I-NP O
gene NN I-NP O
. . O O

Sjogren NN B-NP B-Disease
- HYPH I-NP I-Disease
Larsson NN I-NP I-Disease
syndrome NN I-NP I-Disease
( ( O O
SLS NN B-NP B-Disease
) ) O O
is VBZ B-VP O
an DT B-NP O
autosomal JJ I-NP B-Disease
recessive JJ I-NP I-Disease
disorder NN I-NP I-Disease
characterized VBN B-VP O
by IN B-PP O
ichthyosis NN B-NP B-Disease
, , O O
mental JJ B-NP B-Disease
retardation NN I-NP I-Disease
, , O O
spasticity NN B-NP B-Disease
, , O O
and CC O O
deficient JJ B-NP B-Disease
activity NN I-NP I-Disease
of IN B-PP I-Disease
fatty JJ B-NP I-Disease
aldehyde NN I-NP I-Disease
dehydrogenase NN I-NP I-Disease
( ( O O
FALDH NN B-NP O
) ) O O
. . O O

To TO B-VP O
define VB I-VP O
the DT B-NP O
molecular JJ I-NP O
defects NNS I-NP O
causing VBG B-VP O
SLS NN B-NP B-Disease
, , O O
we PRP B-NP O
performed VBD B-VP O
mutation NN B-NP O
analysis NN I-NP O
of IN B-PP O
the DT B-NP O
FALDH NN I-NP O
gene NN I-NP O
in IN B-PP O
probands NNS B-NP O
from IN B-PP O
63 CD B-NP O
kindreds NNS I-NP O
with IN B-PP O
SLS NN B-NP B-Disease
. . O O

Among IN B-PP O
these DT B-NP O
patients NNS I-NP O
, , O O
49 CD B-NP O
different JJ I-NP O
mutations NNS I-NP O
- HYPH B-PP O
including VBG B-PP O
10 CD B-NP O
deletions NNS I-NP O
, , O O
2 CD B-NP O
insertions NNS I-NP O
, , O O
22 CD B-NP O
amino NN I-NP O
acid NN I-NP O
substitutions NNS I-NP O
, , O O
3 CD B-NP O
nonsense JJ I-NP O
mutations NNS I-NP O
, , O O
9 CD B-NP O
splice NN I-NP O
- HYPH B-NP O
site NN I-NP O
defects NNS I-NP O
, , O O
and CC O O
3 CD B-NP O
complex JJ I-NP O
mutations NNS I-NP O
- : O O
were VBD B-VP O
found VBN I-VP O
. . O O

All DT B-NP O
of IN B-PP O
the DT B-NP O
patients NNS I-NP O
with IN B-PP O
SLS NN B-NP B-Disease
were VBD B-VP O
found VBN I-VP O
to TO I-VP O
carry VB I-VP O
mutations NNS B-NP O
. . O O

Nineteen CD B-NP O
of IN B-PP O
the DT B-NP O
missense JJ I-NP O
mutations NNS I-NP O
resulted VBD B-VP O
in IN B-PP O
a DT B-NP O
severe JJ I-NP O
reduction NN I-NP O
of IN B-PP O
FALDH NN B-NP O
enzyme NN I-NP O
catalytic JJ I-NP O
activity NN I-NP O
when WRB B-ADVP O
expressed VBN B-VP O
in IN B-PP O
mammalian JJ B-NP O
cells NNS I-NP O
, , O O
but CC O O
one CD B-NP O
mutation NN I-NP O
( ( O O
798G NN B-NP O
- SYM O O
- HYPH O O
> SYM O O
C NN B-NP O
[ ( O O
K266N NN B-NP O
] ) O O
) ) O O
seemed VBD B-VP O
to TO I-VP O
have VB I-VP O
a DT B-NP O
greater JJR I-NP O
effect NN I-NP O
on IN B-PP O
mRNA NN B-NP O
stability NN I-NP O
. . O O

The DT B-NP O
splice NN I-NP O
- HYPH I-NP O
site NN I-NP O
mutations NNS I-NP O
led VBD B-VP O
to TO I-VP O
exon VB I-VP O
skipping NN B-NP O
or CC I-NP O
utilization NN I-NP O
of IN B-PP O
cryptic JJ B-NP O
acceptor NN I-NP O
- HYPH B-NP O
splice NN I-NP O
sites NNS I-NP O
. . O O

Thirty CD B-NP O
- HYPH I-NP O
seven CD I-NP O
mutations NNS I-NP O
were VBD B-VP O
private JJ B-ADJP O
, , O O
and CC O O
12 CD B-NP O
mutations NNS I-NP O
were VBD B-VP O
seen VBN I-VP O
in IN B-PP O
two CD B-NP O
or CC I-NP O
more JJR I-NP O
probands NNS I-NP O
of IN B-PP O
European JJ B-NP O
or CC I-NP O
Middle NNP I-NP O
Eastern NNP I-NP O
descent NNP I-NP O
. . O O

Four CD B-NP O
single JJ I-NP O
- HYPH I-NP O
nucleotide NN I-NP O
polymorphisms NNS I-NP O
( ( O O
SNPs NNS B-NP O
) ) O O
were VBD B-VP O
found VBN I-VP O
in IN B-PP O
the DT B-NP O
FALDH NN I-NP O
gene NN I-NP O
. . O O

At IN B-NP O
least JJS I-NP O
four CD I-NP O
of IN B-PP O
the DT B-NP O
common JJ I-NP O
mutations NNS I-NP O
( ( O O
551C NN B-NP O
- SYM O O
- HYPH B-NP O
> SYM I-NP O
T NNP I-NP O
, , I-NP O
682C NN I-NP O
- HYPH O O
- HYPH B-NP O
> SYM I-NP O
T NNP I-NP O
, , I-NP O
733G NNP I-NP O
- HYPH I-NP O
- HYPH I-NP O
> SYM I-NP O
A NN I-NP O
, , O O
and CC O O
798 CD B-NP O
+ SYM I-NP O
1delG NN I-NP O
) ) O O
were VBD B-VP O
associated VBN I-VP O
with IN B-PP O
multiple JJ B-NP O
SNP NN I-NP O
haplotypes NNS I-NP O
, , O O
suggesting VBG B-VP O
that IN B-SBAR O
these DT B-NP O
mutations NNS I-NP O
originated VBD B-VP O
independently RB B-ADVP O
on IN B-PP O
more JJR B-NP O
than IN I-NP O
one CD I-NP O
occasion NN I-NP O
or CC O O
were VBD B-VP O
ancient JJ B-NP O
SLS NN I-NP B-Disease
genes NNS I-NP O
that WDT B-NP O
had VBD B-VP O
undergone VBN I-VP O
intragenic JJ B-NP O
recombination NN I-NP O
. . O O

Our PRP$ B-NP O
results NNS I-NP O
demonstrate VBP B-VP O
that IN B-SBAR O
SLS NN B-NP B-Disease
is VBZ B-VP O
caused VBN I-VP O
by IN B-PP O
a DT B-NP O
strikingly RB I-NP O
heterogeneous JJ I-NP O
group NN I-NP O
of IN B-PP O
mutations NNS B-NP O
in IN B-PP O
the DT B-NP O
FALDH NN I-NP O
gene NN I-NP O
and CC O O
provide VBP B-VP O
a DT B-NP O
framework NN I-NP O
for IN B-PP O
understanding VBG B-VP O
the DT B-NP O
genetic JJ I-NP O
basis NN I-NP O
of IN B-PP O
SLS NN B-NP B-Disease
and CC O O
the DT B-NP O
development NN I-NP O
of IN B-PP O
DNA NN B-NP O
- HYPH O O
based VBN B-NP O
diagnostic JJ I-NP O
tests NNS I-NP O
. . O O

. . O O

Loss NN B-NP O
- HYPH B-NP O
of IN B-PP O
- HYPH B-NP O
function NN I-NP O
mutations NNS I-NP O
in IN B-PP O
the DT B-NP O
cathepsin NN I-NP O
C NN I-NP O
gene NN I-NP O
result VBP B-VP O
in IN B-PP O
periodontal JJ B-NP B-Disease
disease NN I-NP I-Disease
and CC O O
palmoplantar JJ B-NP B-Disease
keratosis NN I-NP I-Disease
. . O O

Papillon NNP B-NP B-Disease
- HYPH I-NP I-Disease
Lefevre NNP I-NP I-Disease
syndrome NN I-NP I-Disease
, , O O
or CC O O
keratosis NN B-NP B-Disease
palmoplantaris NN I-NP I-Disease
with IN B-PP O
periodontopathia NN B-NP B-Disease
( ( O O
PLS NN B-NP B-Disease
, , O O
MIM NN B-NP O
245000 CD I-NP O
) ) O O
, , O O
is VBZ B-VP O
an DT B-NP O
autosomal JJ I-NP B-Disease
recessive JJ I-NP I-Disease
disorder NN I-NP I-Disease
that WDT B-NP O
is VBZ B-VP O
mainly RB I-VP O
ascertained VBN I-VP O
by IN B-PP O
dentists NNS B-NP O
because IN B-PP O
of IN I-PP O
the DT B-NP O
severe JJ I-NP O
periodontitis NN I-NP B-Disease
that WDT B-NP O
afflicts VBZ B-VP O
patients NNS B-NP O
. . O O

Both CC O O
the DT B-NP O
deciduous JJ I-NP O
and CC I-NP O
permanent JJ I-NP O
dentitions NNS I-NP O
are VBP B-VP O
affected VBN I-VP O
, , O O
resulting VBG B-VP O
in IN B-PP O
premature JJ B-NP O
tooth JJ I-NP B-Disease
loss NN I-NP I-Disease
. . O O

Palmoplantar NNP B-NP B-Disease
keratosis NN I-NP I-Disease
, , O O
varying VBG B-VP O
from IN B-PP O
mild JJ B-NP O
psoriasiform NN I-NP O
scaly RB B-ADVP O
skin NN B-NP O
to TO B-PP O
overt JJ B-NP O
hyperkeratosis NN I-NP B-Disease
, , O O
typically RB B-ADVP O
develops VBZ B-VP O
within IN B-PP O
the DT B-NP O
first JJ I-NP O
three CD I-NP O
years NNS I-NP O
of IN B-PP O
life NN B-NP O
. . O O

Keratosis NNP B-NP B-Disease
also RB B-ADVP O
affects VBZ B-VP O
other JJ B-NP O
sites NNS I-NP O
such JJ B-PP O
as IN I-PP O
elbows NNS B-NP O
and CC I-NP O
knees NNS I-NP O
. . O O

Most JJS B-NP O
PLS NN I-NP B-Disease
patients NNS I-NP O
display VBP B-VP O
both CC O O
periodontitis NN B-NP B-Disease
and CC I-NP O
hyperkeratosis NN I-NP B-Disease
. . O O

Some DT B-NP O
patients NNS I-NP O
have VBP B-VP O
only RB B-NP O
palmoplantar JJ I-NP B-Disease
keratosis NN I-NP I-Disease
or CC I-NP O
periodontitis NN I-NP B-Disease
, , O O
and CC O O
in IN B-PP O
rare JJ B-NP O
individuals NNS I-NP O
the DT B-NP O
periodontitis NN I-NP B-Disease
is VBZ B-VP O
mild JJ B-ADJP O
and CC O O
of IN B-PP O
late JJ B-NP O
onset NN I-NP O
. . O O

The DT B-NP O
PLS NN I-NP O
locus NN I-NP O
has VBZ B-VP O
been VBN I-VP O
mapped VBN I-VP O
to TO B-PP O
chromosome NN B-NP O
11q14 NN I-NP O
- HYPH B-NP O
q21 NN I-NP O
( ( O O
refs NNS B-NP O
7 CD I-NP O
, , I-NP O
8 CD I-NP O
, , I-NP O
9 CD I-NP O
) ) O O
. . O O

Using VBG B-VP O
homozygosity NN B-NP O
mapping NN I-NP O
in IN B-PP O
eight CD B-NP O
small JJ I-NP O
consanguineous JJ I-NP O
families NNS I-NP O
, , O O
we PRP B-NP O
have VBP B-VP O
narrowed VBN I-VP O
the DT B-NP O
candidate NN I-NP O
region NN I-NP O
to TO B-PP O
a DT B-NP O
1 CD I-NP O
. . O O

2 CD B-NP O
- HYPH I-NP O
cM NN I-NP O
interval NN I-NP O
between IN B-PP O
D11S4082 NN B-NP O
and CC I-NP O
D11S931 NN I-NP O
. . O O

The DT B-NP O
gene NN I-NP O
( ( O O
CTSC NN B-NP O
) ) O O
encoding VBG B-VP O
the DT B-NP O
lysosomal JJ I-NP O
protease NN I-NP O
cathepsin NN I-NP O
C NN I-NP O
( ( O O
or CC O O
dipeptidyl NN B-NP O
aminopeptidase NN I-NP O
I CD I-NP O
) ) O O
lies VBZ B-VP O
within IN B-PP O
this DT B-NP O
interval NN I-NP O
. . O O

We PRP B-NP O
defined VBD B-VP O
the DT B-NP O
genomic JJ I-NP O
structure NN I-NP O
of IN B-PP O
CTSC NN B-NP O
and CC O O
found VBN B-NP O
mutations NNS I-NP O
in IN B-PP O
all DT B-NP O
eight CD I-NP O
families NNS I-NP O
. . O O

In IN B-PP O
two CD B-NP O
of IN B-PP O
these DT B-NP O
families NNS I-NP O
we PRP B-NP O
used VBD B-VP O
a DT B-NP O
functional JJ I-NP O
assay NN I-NP O
to TO B-VP O
demonstrate VB I-VP O
an DT B-NP O
almost RB I-NP O
total JJ I-NP O
loss NN I-NP O
of IN B-PP O
cathepsin NN B-NP O
C NN I-NP O
activity NN I-NP O
in IN B-PP O
PLS NN B-NP B-Disease
patients NNS I-NP O
and CC O O
reduced JJ B-NP O
activity NN I-NP O
in IN B-PP O
obligate JJ B-NP O
carriers NNS I-NP O
. . O O

Confirmation NN B-NP O
of IN B-PP O
linkage NN B-NP O
of IN B-PP O
Van NNP B-NP B-Disease
der NNP I-NP I-Disease
Woude NNP I-NP I-Disease
syndrome NN I-NP I-Disease
to TO B-PP O
chromosome NN B-NP O
1q32 NN I-NP O
: : O O
evidence NN B-NP O
of IN B-PP O
association NN B-NP O
with IN B-PP O
STR NN B-NP O
alleles NNS I-NP O
suggests VBZ B-VP O
possible JJ B-NP O
unique JJ I-NP O
origin NN I-NP O
of IN B-PP O
the DT B-NP O
disease NN I-NP O
mutation NN I-NP O
. . O O

Van NNP B-NP B-Disease
der NNP I-NP I-Disease
Woude NNP I-NP I-Disease
syndrome NN I-NP I-Disease
( ( O O
VWS NN B-NP B-Disease
) ) O O
is VBZ B-VP O
an DT B-NP O
autosomal JJ I-NP B-Disease
dominant JJ I-NP I-Disease
craniofacial JJ I-NP I-Disease
disorder NN I-NP I-Disease
with IN B-PP O
high JJ B-NP O
penetrance NN I-NP O
and CC O O
variable JJ B-NP O
expression NN I-NP O
. . O O

Its PRP$ B-NP O
clinical JJ I-NP O
features NNS I-NP O
are VBP B-VP O
variably RB I-VP O
expressed VBN I-VP O
, , O O
but CC O O
include VBP B-VP O
cleft NN B-NP B-Disease
lip NN I-NP I-Disease
and CC O O
/ SYM B-NP O
or CC O O
cleft NN B-NP B-Disease
palate NN I-NP I-Disease
, , O O
lip NN B-NP B-Disease
pits NNS I-NP I-Disease
and CC O O
hypodontia NN B-NP B-Disease
. . O O

All DT B-NP O
VWS NN I-NP B-Disease
families NNS I-NP O
studied VBN B-VP O
to TO B-PP O
date NN B-NP O
map VBP B-VP O
the DT B-NP O
disease NN I-NP O
gene NN I-NP O
to TO B-PP O
a DT B-NP O
< JJR I-NP O
2 CD I-NP O
cM NN I-NP O
region NN I-NP O
of IN B-PP O
chromosome NN B-NP O
1q32 NN I-NP O
, , O O
with IN B-PP O
no DT B-NP O
evidence NN I-NP O
of IN B-PP O
locus NN B-NP O
heterogeneity NN I-NP O
. . O O

The DT B-NP O
aim NN I-NP O
of IN B-PP O
this DT B-NP O
study NN I-NP O
is VBZ B-VP O
to TO B-VP O
refine VB I-VP O
the DT B-NP O
localization NN I-NP O
of IN B-PP O
the DT B-NP O
VWS NN I-NP B-Disease
gene NN I-NP O
and CC O O
to TO B-VP O
further RB I-VP O
assess VB I-VP O
possible JJ B-NP O
heterogeneity NN I-NP O
. . O O

We PRP B-NP O
analyzed VBD B-VP O
four CD B-NP O
multiplex JJ I-NP O
VWS NN I-NP B-Disease
families NNS I-NP O
. . O O

All DT B-NP O
available JJ I-NP O
members NNS I-NP O
were VBD B-VP O
clinically RB I-VP O
assessed VBN I-VP O
and CC I-VP O
genotyped VBN I-VP O
for IN B-PP O
19 CD B-NP O
short JJ I-NP O
tandem JJ I-NP O
repeat NN I-NP O
markers NNS I-NP O
on IN B-PP O
chromosome NN B-NP O
1 CD I-NP O
in IN B-PP O
the DT B-NP O
VWS NN I-NP B-Disease
candidate NN I-NP O
gene NN I-NP O
region NN I-NP O
. . O O

We PRP B-NP O
performed VBD B-VP O
two CD B-NP O
- HYPH I-NP O
point NN I-NP O
and CC O O
multipoint JJ B-NP O
limit NN I-NP O
of IN B-PP O
detection NN B-NP O
( ( O O
LOD NN B-NP O
) ) O O
score NN B-NP O
analyses NNS I-NP O
using VBG B-VP O
a DT B-NP O
high JJ I-NP O
penetrance NN I-NP O
autosomal JJ I-NP O
dominant JJ I-NP O
model NN I-NP O
. . O O

All DT B-NP O
families NNS I-NP O
showed VBD B-VP O
positive JJ B-NP O
LOD NN I-NP O
scores NNS I-NP O
without IN B-PP O
any DT B-NP O
recombination NN I-NP O
in IN B-PP O
the DT B-NP O
candidate NN I-NP O
region NN I-NP O
. . O O

The DT B-NP O
largest JJS I-NP O
two CD I-NP O
- HYPH I-NP O
point NN I-NP O
LOD NN I-NP O
score NN I-NP O
was VBD B-VP O
5 CD B-NP O
. . O O

87 CD B-NP O
87 CD I-NP O
. . O O

Our PRP$ B-NP O
assay NN I-NP O
method NN I-NP O
for IN B-PP O
short JJ B-NP O
tandem JJ I-NP O
repeat NN I-NP O
( ( O O
STR NN B-NP O
) ) O O
markers NNS B-NP O
provided VBD B-VP O
highly RB B-NP O
accurate JJ I-NP O
size NN I-NP O
estimation NN I-NP O
of IN B-PP O
marker NN B-NP O
allele NN I-NP O
fragment NN I-NP O
sizes VBZ B-VP O
, , O O
and CC O O
therefore RB B-ADVP O
enabled VBD B-VP O
us PRP B-NP O
to TO B-VP O
determine VB I-VP O
the DT B-NP O
specific JJ I-NP O
alleles NNS I-NP O
segregating VBG B-VP O
with IN B-PP O
the DT B-NP O
VWS NN I-NP B-Disease
gene NN I-NP O
in IN B-PP O
each DT B-NP O
of IN B-PP O
our PRP$ B-NP O
four CD I-NP O
families NNS I-NP O
. . O O

We PRP B-NP O
observed VBD B-VP O
a DT B-NP O
striking JJ I-NP O
pattern NN I-NP O
of IN B-PP O
STR NN B-NP O
allele NN I-NP O
sharing VBG B-VP O
at IN B-PP O
several JJ B-NP O
closely RB I-NP O
linked VBN I-NP O
loci NNS I-NP O
among IN B-PP O
our PRP$ B-NP O
four CD I-NP O
Caucasian JJ I-NP O
VWS NN I-NP B-Disease
families NNS I-NP O
recruited VBN B-VP O
at IN B-PP O
three CD B-NP O
different JJ I-NP O
locations NNS I-NP O
in IN B-PP O
the DT B-NP O
US NNP I-NP O
. . O O

These DT B-NP O
results NNS I-NP O
suggest VBP B-VP O
the DT B-NP O
possibility NN I-NP O
of IN B-PP O
a DT B-NP O
unique JJ I-NP O
origin NN I-NP O
for IN B-PP O
a DT B-NP O
mutation NN I-NP O
responsible JJ B-ADJP O
for IN B-PP O
many JJ B-NP O
or CC I-NP O
most JJS I-NP O
cases NNS I-NP O
of IN B-PP O
VWS NN B-NP B-Disease
. . O O

A DT B-NP O
point NN I-NP O
mutation NN I-NP O
Thr NN I-NP O
( ( O O
799 CD B-NP O
) ) O O
Met NN B-NP O
on IN B-PP O
the DT B-NP O
alpha NN I-NP O
( ( O O
2 CD B-NP O
) ) O O
integrin NN B-NP O
leads VBZ B-VP O
to TO B-PP O
the DT B-NP O
formation NN I-NP O
of IN B-PP O
new JJ B-NP O
human JJ I-NP O
platelet NN I-NP O
alloantigen NN I-NP O
Sit NN I-NP O
( ( O O
a DT O O
) ) O O
and CC O O
affects VBZ B-VP O
collagen NN B-NP O
- HYPH B-NP O
induced VBN I-NP O
aggregation NN I-NP O
. . O O

A DT B-NP O
new JJ I-NP O
platelet NN I-NP O
- HYPH B-NP O
specific JJ I-NP O
alloantigen NN I-NP O
, , O O
termed VBN B-NP O
Sit NN I-NP O
( ( O O
a DT O O
) ) O O
, , O O
was VBD B-VP O
identified VBN I-VP O
in IN B-PP O
a DT B-NP O
severe JJ I-NP O
case NN I-NP O
of IN B-PP O
neonatal JJ B-NP B-Disease
alloimmune JJ I-NP I-Disease
thrombocytopenia NN I-NP I-Disease
. . O O

The DT B-NP O
Sit NN I-NP O
( ( B-LST O
a LS I-LST O
) ) O O
alloantigen NN B-NP O
is VBZ B-VP O
of IN B-PP O
low JJ B-NP O
frequency NN I-NP O
( ( O O
1 CD B-NP O
/ SYM B-NP O
400 CD I-NP O
) ) O O
in IN B-PP O
the DT B-NP O
German JJ I-NP O
population NN I-NP O
. . O O

Immunochemical JJ B-NP O
studies NNS I-NP O
demonstrated VBD B-VP O
that IN B-SBAR O
the DT B-NP O
Sit NN I-NP O
( ( O O
a NN B-NP O
) ) O O
epitopes VBZ B-VP O
reside NN B-NP O
on IN B-PP O
platelet NN B-NP O
glycoprotein NN I-NP O
( ( O O
GP NN B-NP O
) ) O O
Ia NN B-NP O
. . O O

Nucleotide NN B-NP O
sequence NN I-NP O
analysis NN I-NP O
of IN B-PP O
GPIa NN B-NP O
cDNA NN I-NP O
derived VBN B-VP O
from IN B-PP O
Sit NN B-NP O
( ( O O
a DT O O
) ) O O
- HYPH B-NP O
positive JJ I-NP O
platelets NNS I-NP O
showed VBD B-VP O
C NN B-NP O
( ( O O
2531 CD B-NP O
) ) O O
- SYM O O
- HYPH O O
> SYM O O
T NN B-NP O
( ( O O
2531 CD B-NP O
) ) O O
point NN B-NP O
mutation NN I-NP O
, , O O
resulting VBG B-VP O
in IN B-PP O
Thr NN B-NP O
( ( O O
799 CD B-NP O
) ) O O
Met NN B-NP O
dimorphism NN I-NP O
. . O O

Analysis NN B-NP O
of IN B-PP O
genomic JJ B-NP O
DNA NN I-NP O
from IN B-PP O
22 CD B-NP O
Sit NN I-NP O
( ( O O
a DT O O
) ) O O
- HYPH B-NP O
negative JJ I-NP O
normal JJ I-NP O
individuals NNS I-NP O
showed VBD B-VP O
that IN B-SBAR O
the DT B-NP O
Thr NN I-NP O
( ( O O
799 CD B-NP O
) ) O O
is VBZ B-VP O
encoded VBN I-VP O
by IN B-PP O
ACG NN B-NP O
( ( O O
2532 CD B-NP O
) ) O O
( ( O O
90 CD B-NP O
. . O O

9 CD B-NP O
% NN I-NP O
) ) O O
or CC O O
ACA NN B-NP O
( ( O O
2532 CD B-NP O
) ) O O
( ( O O
9 CD B-NP O
. SYM I-NP O

1 CD I-NP O
% NN I-NP O
) ) O O
. . O O

To TO B-VP O
establish VB I-VP O
a DT B-NP O
DNA NN I-NP O
typing NN I-NP O
technique NN I-NP O
, , O O
we PRP B-NP O
elucidated VBD B-VP O
the DT B-NP O
organization NN I-NP O
of IN B-PP O
the DT B-NP O
GPIa NN I-NP O
gene NN I-NP O
adjacent JJ B-ADJP O
to TO B-PP O
the DT B-NP O
polymorphic JJ I-NP O
bases NNS I-NP O
. . O O

The DT B-NP O
introns NNS I-NP O
( ( O O
421 CD B-NP O
bp NN I-NP O
and CC O O
1 CD B-NP O
. . O O

2 CD B-NP O
kb NN I-NP O
) ) O O
encompass VBZ B-VP O
a DT B-NP O
142 CD I-NP O
- HYPH I-NP O
bp NN I-NP O
exon NN I-NP O
with IN B-PP O
the DT B-NP O
2 CD I-NP O
polymorphic JJ I-NP O
bases NNS I-NP O
2531 CD B-NP O
and CC I-NP O
2532 CD I-NP O
. . O O

Polymerase NN B-NP O
chain NN I-NP O
reaction NN I-NP O
- HYPH B-NP O
restriction NN I-NP O
fragment NN I-NP O
length NN I-NP O
polymorphism NN I-NP O
analysis NN I-NP O
on IN B-PP O
DNA NN B-NP O
derived VBN B-VP O
from IN B-PP O
100 CD B-NP O
donors NNS I-NP O
using VBG B-VP O
the DT B-NP O
restriction NN I-NP O
enzyme NN I-NP O
Mae NN I-NP O
III CD I-NP O
showed VBD B-VP O
that IN B-SBAR O
the DT B-NP O
Met NN I-NP O
( ( O O
799 CD B-NP O
) ) O O
form NN B-NP O
of IN B-PP O
GPIa NN B-NP O
is VBZ B-VP O
restricted JJ B-ADJP O
to TO B-PP O
Sit NN B-NP O
( ( O O
a NN B-NP O
) ) O O
( ( O O
+ SYM O O
) ) O O
phenotype NN B-NP O
. . O O

Analysis NN B-NP O
of IN B-PP O
stable JJ B-NP O
Chinese JJ I-NP O
hamster NN I-NP O
ovary NN I-NP O
transfectants NNS I-NP O
expressing VBG B-VP O
allele NN B-NP O
- HYPH B-NP O
specific JJ I-NP O
recombinant JJ I-NP O
forms NNS I-NP O
of IN B-PP O
GPIa NN B-NP O
showed VBD B-VP O
that IN B-SBAR O
anti AFX B-NP O
- HYPH I-NP O
Sit NN I-NP O
( ( O O
a DT O O
) ) O O
exclusively RB B-ADVP O
reacted VBD B-VP O
with IN B-PP O
the DT B-NP O
Glu NN I-NP O
( ( O O
505 CD B-NP O
) ) O O
Met NN B-NP O
( ( O O
799 CD B-NP O
) ) O O
, , O O
but CC O O
not RB O O
with IN B-PP O
the DT B-NP O
Glu NN I-NP O
( ( O O
505 CD B-NP O
) ) O O
Thr NN B-NP O
( ( O O
799 CD B-NP O
) ) O O
and CC O O
the DT B-NP O
Lys NNPS I-NP O
( ( O O
505 CD B-NP O
) ) O O
Thr NN B-NP O
( ( O O
799 CD B-NP O
) ) O O
isoforms NNS B-NP O
. . O O

In IN B-PP O
contrast NN B-NP O
, , O O
anti AFX O O
- HYPH O O
Br NNP B-NP O
( ( O O
a DT O O
) ) O O
( ( O O
HPA NN B-NP O
- HYPH B-NP O
5b NN I-NP O
) ) O O
only RB B-ADVP O
recognized VBD B-VP O
the DT B-NP O
Lys NNPS I-NP O
( ( O O
505 CD B-NP O
) ) O O
Thr NN B-NP O
( ( O O
799 CD B-NP O
) ) O O
form NN B-NP O
, , O O
whereas IN O O
anti AFX O O
- HYPH O O
Br NN B-NP O
( ( O O
b NN B-NP O
) ) O O
( ( O O
HPA NN B-NP O
- HYPH B-NP O
5a NN I-NP O
) ) O O
reacted VBD B-VP O
with IN B-PP O
both CC O O
Glu NN B-NP O
( ( O O
505 CD B-NP O
) ) O O
Thr NN B-NP O
( ( O O
799 CD B-NP O
) ) O O
and CC O O
Glu NN B-NP O
( ( O O
505 CD B-NP O
) ) O O
Met NN B-NP O
( ( O O
799 CD B-NP O
) ) O O
isoforms NNS B-NP O
. . O O

These DT B-NP O
results NNS I-NP O
demonstrated VBD B-VP O
that IN B-SBAR O
the DT B-NP O
Met NN I-NP O
( ( O O
799 CD B-NP O
) ) O O
is VBZ B-VP O
responsible JJ B-ADJP O
for IN B-PP O
formation NN B-NP O
of IN B-PP O
the DT B-NP O
Sit NN I-NP O
( ( O O
a DT O O
) ) O O
alloantigenic JJ B-NP O
determinants NNS I-NP O
, , O O
whereas IN O O
amino NN B-NP O
acid NN I-NP O
505 CD I-NP O
( ( O O
Lys NN B-NP O
or CC O O
Glu NN B-NP O
) ) O O
specifically RB B-ADVP O
controls VBZ B-VP O
the DT B-NP O
expression NN I-NP O
of IN B-PP O
Br NNP B-NP O
( ( O O
a DT O O
) ) O O
and CC O O
Br NN B-NP O
( ( O O
b NN B-NP O
) ) O O
epitopes NNS B-NP O
, , O O
respectively RB B-ADVP O
. . O O

Platelet NN B-NP O
aggregation NN I-NP O
responses NNS I-NP O
